beta min,beta max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22

,,0.0 keV < E_tot < 100.0 keV:
-90.0deg,-53.13deg,0,176,0,0,0,0,0,0,0,1,21713,0,0,1,1,0,0,0,0,113,12,121,3
-53.13deg,-36.87deg,0,177,0,0,0,0,0,0,3,1,22484,0,0,3,4,0,0,0,0,156,21,169,18
-36.87deg,-23.58deg,0,200,0,0,0,0,0,0,2,1,22325,0,0,5,1,0,0,0,0,208,33,204,44
-23.58deg,-11.537deg,0,197,0,0,0,0,0,0,2,0,22678,0,0,5,1,0,0,0,0,248,36,218,47
-11.537deg,0.0deg,0,260,0,0,0,0,0,0,0,0,22805,0,0,7,2,0,0,0,0,266,46,247,59
0.0deg,11.537deg,0,287,0,0,0,0,0,0,0,3,22773,0,0,1,0,0,0,0,0,246,63,234,60
11.537deg,23.58deg,0,309,0,0,0,0,0,0,0,0,22472,0,0,7,2,0,0,0,0,225,40,213,50
23.58deg,36.87deg,0,310,0,0,0,0,0,0,0,0,22423,0,0,4,6,0,0,0,0,210,30,206,29
36.87deg,53.13deg,0,363,0,0,0,0,0,0,1,0,22254,0,0,2,0,0,0,0,0,156,12,187,20
53.13deg,90.0deg,0,388,0,0,0,0,0,0,0,1,21429,0,0,6,0,0,0,0,0,106,7,100,2

,,100.0 keV < E_tot < 157.3932 keV:
-90.0deg,-53.13deg,0,670,0,0,2,1,0,0,15,14,9192,0,0,7,2,0,0,0,0,862,111,829,97
-53.13deg,-36.87deg,0,601,0,0,1,0,0,0,17,23,8446,0,0,10,7,0,0,1,0,1065,371,1090,336
-36.87deg,-23.58deg,0,641,0,0,0,3,0,0,21,26,7804,0,0,7,2,0,0,1,0,1281,619,1227,612
-23.58deg,-11.537deg,0,660,0,0,3,0,0,0,20,45,7414,0,0,5,4,0,0,0,1,1326,852,1238,826
-11.537deg,0.0deg,0,640,0,0,0,0,0,0,19,32,7279,0,0,9,9,0,0,0,0,1354,1017,1314,902
0.0deg,11.537deg,0,653,0,0,0,0,0,0,36,19,7171,0,0,10,5,0,0,0,0,1373,1003,1300,933
11.537deg,23.58deg,0,675,0,0,3,0,0,0,28,29,7348,0,0,12,5,0,0,0,0,1396,884,1249,807
23.58deg,36.87deg,0,768,0,0,1,1,0,0,20,14,7792,0,0,6,7,1,0,0,0,1278,609,1160,625
36.87deg,53.13deg,0,817,0,0,1,1,0,0,26,15,8238,0,0,8,5,0,1,0,0,1032,369,1011,364
53.13deg,90.0deg,0,924,0,0,1,1,0,0,11,7,9447,0,0,5,1,0,0,0,0,809,103,873,101

,,157.3932 keV < E_tot < 219.1005 keV:
-90.0deg,-53.13deg,0,1261,0,0,10,15,0,0,38,55,7034,0,0,13,13,1,0,2,0,1013,217,1635,395
-53.13deg,-36.87deg,0,1186,0,0,6,11,0,0,55,99,5422,0,0,13,17,2,3,3,0,1186,773,1962,1246
-36.87deg,-23.58deg,0,1233,0,0,4,5,0,1,65,132,4297,0,0,21,10,5,7,0,0,1125,1211,1830,2200
-23.58deg,-11.537deg,0,1060,0,0,2,1,0,0,96,122,3730,0,0,19,12,1,6,0,4,1089,1666,1693,2845
-11.537deg,0.0deg,0,1072,0,0,3,4,0,0,91,110,3345,0,0,10,14,3,8,1,4,1020,1854,1654,3238
0.0deg,11.537deg,0,1106,0,0,1,3,0,0,89,108,3430,0,0,20,18,7,6,1,3,1014,1853,1654,3239
11.537deg,23.58deg,0,1253,0,0,3,3,0,0,90,95,3607,0,0,16,15,2,2,2,3,1010,1569,1650,2776
23.58deg,36.87deg,0,1355,0,0,9,2,0,0,62,84,4370,0,0,13,17,2,1,3,2,1202,1231,1852,2193
36.87deg,53.13deg,0,1483,0,0,8,10,0,0,52,71,5373,0,0,27,7,4,3,0,0,1167,696,1905,1209
53.13deg,90.0deg,0,1821,0,0,13,3,0,0,32,37,7329,0,0,18,9,0,0,0,0,942,230,1650,380

,,219.1005 keV < E_tot < 284.3663 keV:
-90.0deg,-53.13deg,0,2241,0,0,28,53,0,0,54,108,5747,0,0,38,27,5,3,2,0,768,270,1978,708
-53.13deg,-36.87deg,0,2011,0,0,15,24,0,0,83,176,3778,2,0,27,19,4,8,4,3,770,828,1974,2370
-36.87deg,-23.58deg,0,1858,0,0,19,16,1,0,84,246,2685,1,0,36,15,1,5,3,4,560,1125,1552,3633
-23.58deg,-11.537deg,0,1773,0,0,10,12,0,0,88,240,2181,1,0,23,26,4,7,4,3,487,1321,1269,4757
-11.537deg,0.0deg,0,1692,0,0,9,13,0,0,91,238,1925,1,0,31,21,0,6,5,7,405,1446,1163,5226
0.0deg,11.537deg,0,1777,0,0,10,9,0,0,110,228,1969,2,0,38,17,1,4,6,10,382,1513,1154,5153
11.537deg,23.58deg,0,1915,0,0,10,6,0,0,107,219,2149,2,0,31,19,0,3,0,8,434,1351,1339,4656
23.58deg,36.87deg,0,1941,0,0,21,7,0,0,112,218,2587,1,0,30,16,2,2,1,9,619,1179,1588,3779
36.87deg,53.13deg,0,2378,0,0,27,23,0,0,111,158,3738,2,0,34,15,6,3,3,6,766,804,1994,2335
53.13deg,90.0deg,0,2682,0,0,46,31,1,0,67,100,5624,1,0,40,25,1,1,4,2,775,252,1992,736

,,284.3663 keV < E_tot < 348.5078 keV:
-90.0deg,-53.13deg,0,3149,0,0,65,145,0,0,69,216,4747,2,0,46,40,7,3,5,1,585,279,1806,989
-53.13deg,-36.87deg,0,3022,0,0,23,58,0,0,109,354,2841,2,0,36,23,2,6,1,2,494,756,1571,2936
-36.87deg,-23.58deg,0,2614,0,0,21,30,0,1,107,374,1886,5,0,24,31,0,7,3,5,262,972,1017,4440
-23.58deg,-11.537deg,0,2474,0,0,17,18,0,0,97,412,1580,1,0,34,15,2,4,3,8,170,988,739,5504
-11.537deg,0.0deg,0,2470,0,0,10,14,0,0,94,455,1510,3,0,28,26,1,5,0,10,167,926,663,6061
0.0deg,11.537deg,0,2475,0,0,13,16,0,0,111,399,1426,2,0,34,23,3,8,0,9,159,884,637,6019
11.537deg,23.58deg,0,2560,0,0,12,24,2,0,120,400,1533,4,0,14,20,2,8,2,6,166,984,787,5423
23.58deg,36.87deg,0,2739,0,0,20,24,0,0,126,358,1792,1,0,37,22,1,6,2,5,266,1010,1018,4538
36.87deg,53.13deg,0,3202,0,0,33,35,0,0,147,291,2700,0,0,42,22,3,2,2,9,538,819,1564,2994
53.13deg,90.0deg,0,3593,0,0,78,87,0,0,91,161,4645,2,0,50,32,6,1,1,3,583,303,1802,978

,,348.5078 keV < E_tot < 404.5489 keV:
-90.0deg,-53.13deg,0,4143,1,0,92,243,0,0,119,313,3949,1,0,63,42,3,0,6,1,430,250,1569,1069
