beta min,beta max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44

,,0.0 keV < E_tot < 100.0 keV:
-90.0deg,-53.13deg,0,62,4,44,0,1,17,0,1,46,1,0,0,0,0,0,0,0,0,0,0,1,0,10929,569,9793,46,4,7,0,1,364,0,0,0,1,1,0,0,0,0,113,12,121,3
-53.13deg,-36.87deg,0,78,2,28,0,1,24,5,1,34,4,0,0,0,0,0,0,0,0,2,1,1,0,11335,641,9920,128,2,10,1,3,443,1,0,0,3,4,0,0,0,0,156,21,169,18
-36.87deg,-23.58deg,0,70,1,35,1,2,34,3,3,50,1,0,0,0,0,0,0,0,0,2,0,1,0,10886,725,10017,212,3,5,2,7,466,2,0,0,5,1,0,0,0,0,208,33,204,44
-23.58deg,-11.537deg,0,77,3,24,0,3,41,1,3,44,1,0,0,0,0,0,0,0,0,2,0,0,0,11101,778,9952,239,2,11,1,8,586,0,0,0,5,1,0,0,0,0,248,36,218,47
-11.537deg,0.0deg,0,125,2,28,1,5,33,5,5,54,2,0,0,0,0,0,0,0,0,0,0,0,0,11124,775,9990,331,3,16,0,11,552,3,0,0,7,2,0,0,0,0,266,46,247,59
0.0deg,11.537deg,0,140,2,28,2,2,48,5,4,54,2,0,0,0,0,0,0,0,0,0,0,2,1,11046,863,9933,307,9,16,1,10,587,1,0,0,1,0,0,0,0,0,246,63,234,60
11.537deg,23.58deg,0,180,2,31,0,5,37,2,2,49,1,0,0,0,0,0,0,0,0,0,0,0,0,11047,766,9866,258,5,11,0,10,508,1,0,0,7,2,0,0,0,0,225,40,213,50
23.58deg,36.87deg,0,201,1,17,0,1,33,2,3,51,1,0,0,0,0,0,0,0,0,0,0,0,0,11048,822,9797,216,3,7,2,10,517,1,0,0,4,6,0,0,0,0,210,30,206,29
36.87deg,53.13deg,0,245,5,28,0,1,28,4,6,45,1,0,0,0,0,0,0,0,0,1,0,0,0,11063,676,9904,132,4,12,0,2,457,4,0,0,2,0,0,0,0,0,156,12,187,20
53.13deg,90.0deg,0,280,2,20,0,3,35,3,1,44,0,0,0,0,0,0,0,0,0,0,0,1,0,10764,594,9613,52,3,11,0,5,386,1,0,0,6,0,0,0,0,0,106,7,100,2

,,100.0 keV < E_tot < 157.3932 keV:
-90.0deg,-53.13deg,0,131,13,147,1,43,128,18,35,151,3,0,0,2,1,0,0,0,0,13,2,14,0,2,1066,7789,264,1,23,5,6,33,3,0,0,7,2,0,0,0,0,862,111,829,97
-53.13deg,-36.87deg,0,95,21,108,7,44,132,53,21,109,11,0,0,1,0,0,0,0,0,11,6,17,6,2,984,6779,610,3,26,4,6,24,8,0,0,10,7,0,0,1,0,1065,371,1090,336
-36.87deg,-23.58deg,0,89,22,93,14,61,149,75,36,91,11,0,0,0,3,0,0,0,0,15,6,19,7,4,910,5727,1056,2,40,22,12,21,10,0,0,7,2,0,0,1,0,1281,619,1227,612
-23.58deg,-11.537deg,0,70,25,86,16,53,170,115,31,76,18,0,0,3,0,0,0,0,0,14,6,26,19,4,922,5148,1234,4,34,26,5,32,5,0,0,5,4,0,0,0,1,1326,852,1238,826
-11.537deg,0.0deg,0,80,23,81,17,46,161,114,27,65,26,0,0,0,0,0,0,0,0,11,8,19,13,0,928,4901,1336,3,39,24,9,30,9,0,0,9,9,0,0,0,0,1354,1017,1314,902
0.0deg,11.537deg,0,109,14,71,21,70,166,91,35,60,16,0,0,0,0,0,0,0,0,24,12,10,9,7,893,4874,1285,1,34,25,9,30,13,0,0,10,5,0,0,0,0,1373,1003,1300,933
11.537deg,23.58deg,0,126,16,74,19,69,169,90,29,69,14,0,0,3,0,0,0,0,0,17,11,15,14,4,889,5101,1246,3,40,20,8,28,9,0,0,12,5,0,0,0,0,1396,884,1249,807
23.58deg,36.87deg,0,227,16,77,15,47,185,79,24,88,10,0,0,1,1,0,0,0,0,7,13,10,4,2,944,5748,986,4,44,16,7,30,11,0,0,6,7,1,0,0,0,1278,609,1160,625
36.87deg,53.13deg,0,274,19,133,11,42,150,44,17,120,7,0,0,1,1,0,0,0,0,19,7,13,2,3,988,6494,663,2,30,8,8,38,4,0,0,8,5,0,1,0,0,1032,369,1011,364
53.13deg,90.0deg,0,400,28,134,3,40,153,8,25,129,4,0,0,1,1,0,0,0,0,10,1,7,0,6,1135,8019,238,2,14,4,2,26,1,0,0,5,1,0,0,0,0,809,103,873,101

,,157.3932 keV < E_tot < 219.1005 keV:
-90.0deg,-53.13deg,0,167,88,198,13,204,274,50,57,207,3,0,0,10,15,0,0,0,0,33,5,48,7,2,1141,5428,296,1,67,21,11,63,4,0,0,13,13,1,0,2,0,1013,217,1635,395
-53.13deg,-36.87deg,0,111,39,126,23,176,330,229,34,106,12,0,0,6,11,0,0,0,0,32,23,52,47,3,918,3567,749,9,54,55,14,34,19,0,0,13,17,2,3,3,0,1186,773,1962,1246
-36.87deg,-23.58deg,0,74,33,72,34,213,327,350,43,50,37,0,0,4,5,0,0,0,1,33,32,59,73,0,776,2292,1022,8,65,84,11,26,13,0,0,21,10,5,7,0,0,1125,1211,1830,2200
-23.58deg,-11.537deg,0,51,23,52,27,156,254,413,19,39,26,0,0,2,1,0,0,0,0,29,67,45,77,2,771,1643,1061,8,59,139,10,19,18,0,0,19,12,1,6,0,4,1089,1666,1693,2845
-11.537deg,0.0deg,0,43,29,51,34,185,229,416,28,34,23,0,0,3,4,0,0,0,0,35,56,38,72,1,753,1311,1047,4,62,128,11,10,18,0,0,10,14,3,8,1,4,1020,1854,1654,3238
0.0deg,11.537deg,0,89,32,43,29,188,225,416,40,23,21,0,0,1,3,0,0,0,0,30,59,42,66,1,736,1322,1128,6,63,127,12,19,16,0,0,20,18,7,6,1,3,1014,1853,1654,3239
11.537deg,23.58deg,0,146,34,61,31,194,267,411,37,41,31,0,0,3,3,0,0,0,0,37,53,36,59,3,760,1601,1052,4,55,84,9,21,18,0,0,16,15,2,2,2,3,1010,1569,1650,2776
23.58deg,36.87deg,0,238,45,93,39,188,282,323,41,74,32,0,0,9,2,0,0,0,0,29,33,38,46,0,910,2264,999,3,58,82,9,32,13,0,0,13,17,2,1,3,2,1202,1231,1852,2193
36.87deg,53.13deg,0,375,67,136,27,192,291,195,45,136,19,0,0,8,10,0,0,0,0,23,29,42,29,3,954,3479,745,8,61,52,16,40,15,0,0,27,7,4,3,0,0,1167,696,1905,1209
53.13deg,90.0deg,0,546,96,259,10,177,360,58,71,229,15,0,0,13,3,0,0,0,0,31,1,32,5,1,1240,5599,323,5,58,20,14,61,8,0,0,18,9,0,0,0,0,942,230,1650,380

,,219.1005 keV < E_tot < 284.3663 keV:
